Sample_id,Sample_label
1,4
2,4
3,8
4,3
5,9
6,7
7,9
8,8
9,1
10,2
11,1
12,8
13,2
14,1
15,9
16,8
17,4
18,2
19,4
20,2
21,3
22,9
23,1
24,8
25,3
26,4
27,4
28,8
29,9
30,7
31,10
32,2
33,7
34,9
35,4
36,4
37,7
38,1
39,1
40,9
41,7
42,9
43,8
44,9
45,2
46,2
47,2
48,2
49,4
50,2
51,2
52,4
53,10
54,7
55,3
56,10
57,4
58,2
59,4
60,2
61,4
62,2
63,7
64,2
65,4
66,6
67,9
68,4
69,2
70,2
71,1
72,1
73,8
74,9
75,7
76,3
77,3
78,3
79,9
80,9
81,4
82,7
83,9
84,2
85,8
86,8
87,10
88,3
89,8
90,7
91,3
92,3
93,1
94,2
95,2
96,8
97,4
98,8
99,2
100,4
101,2
102,9
103,4
104,8
105,9
106,2
107,8
108,1
109,4
110,8
111,8
112,2
113,1
114,9
115,2
116,8
117,2
118,3
119,2
120,3
121,8
122,2
123,3
124,2
125,4
126,4
127,9
128,2
129,3
130,3
131,4
132,1
133,1
134,4
135,3
136,8
137,4
138,4
139,4
140,8
141,1
142,8
143,9
144,1
145,9
146,1
147,7
148,1
149,4
150,3
151,3
152,9
153,2
154,4
155,9
156,9
157,10
158,8
159,8
160,9
161,7
162,4
163,10
164,8
165,4
166,9
167,8
168,4
169,4
170,4
171,2
172,8
173,1
174,6
175,3
176,9
177,2
178,6
179,8
180,7
181,1
182,7
183,2
184,10
185,2
186,2
187,4
188,4
189,2
190,7
191,2
192,3
193,9
194,9
195,9
196,3
197,3
198,1
199,10
200,1
201,8
202,4
203,9
204,2
205,8
206,9
207,4
208,7
209,4
210,4
211,8
212,4
213,4
214,9
215,3
216,8
217,7
218,2
219,10
220,9
221,1
222,1
223,2
224,9
225,3
226,8
227,3
228,4
229,2
230,3
231,3
232,4
233,7
234,3
235,4
236,2
237,4
238,4
239,7
240,2
241,9
242,9
243,9
244,2
245,2
246,10
247,9
248,3
249,3
250,2
251,1
252,2
253,5
254,3
255,1
256,1
257,1
258,8
259,7
260,2
261,4
262,9
263,2
264,2
265,4
266,9
267,2
268,8
269,8
270,8
271,9
272,2
273,10
274,9
275,8
276,7
277,1
278,1
279,8
280,9
281,4
282,2
283,1
284,4
285,2
286,3
287,9
288,8
289,8
290,2
291,2
292,1
293,4
294,9
295,4
296,8
297,3
298,2
299,8
300,1
301,7
302,2
303,9
304,2
305,4
306,1
307,1
308,1
309,2
310,2
311,1
312,3
313,2
314,9
315,2
316,4
317,3
318,2
319,8
320,3
321,2
322,9
323,8
324,2
325,1
326,8
327,4
328,2
329,2
330,7
331,8
332,3
333,8
334,2
335,2
336,7
337,4
338,8
339,4
340,4
341,4
342,4
343,1
344,3
345,7
346,2
347,4
348,3
349,4
350,2
351,1
352,4
353,4
354,4
355,2
356,1
357,8
358,3
359,9
360,2
361,1
362,1
363,1
364,4
365,4
366,4
367,9
368,2
369,4
370,4
371,2
