Sample_id,Sample_label
1,9
2,9
3,8
4,2
5,4
6,8
7,9
8,8
9,1
10,2
11,1
12,4
13,2
14,9
15,9
16,9
17,4
18,2
19,9
20,2
21,9
22,4
23,1
24,10
25,1
26,9
27,3
28,9
29,9
30,1
31,4
32,2
33,2
34,9
35,9
36,4
37,1
38,1
39,1
40,9
41,1
42,2
43,9
44,9
45,2
46,2
47,9
48,2
49,9
50,2
51,2
52,2
53,6
54,10
55,2
56,9
57,9
58,1
59,9
60,2
61,4
62,2
63,9
64,1
65,9
66,4
67,9
68,4
69,2
70,2
71,1
72,6
73,4
74,9
75,1
76,2
77,2
78,9
79,9
80,9
81,4
82,1
83,1
84,2
85,9
86,9
87,9
88,2
89,8
90,8
91,4
92,9
93,1
94,2
95,2
96,1
97,9
98,4
99,2
100,2
101,2
102,9
103,9
104,8
105,4
106,1
107,1
108,1
109,4
110,1
111,9
112,2
113,1
114,9
115,1
116,8
117,2
118,4
119,1
120,8
121,1
122,2
123,4
124,1
125,4
126,9
127,4
128,2
129,4
130,4
131,4
132,7
133,1
134,4
135,2
136,9
137,9
138,4
139,9
140,1
141,1
142,1
143,9
144,1
145,9
146,8
147,2
148,1
149,5
150,2
151,2
152,9
153,2
154,2
155,9
156,9
157,8
158,8
159,8
160,9
161,1
162,9
163,9
164,1
165,9
166,10
167,8
168,4
169,9
170,4
171,2
172,9
173,1
174,9
175,4
176,9
177,2
178,9
179,6
180,8
181,1
182,8
183,2
184,9
185,2
186,2
187,4
188,4
189,2
190,9
191,2
192,3
193,9
194,9
195,9
196,9
197,9
198,1
199,1
200,1
201,3
202,4
203,9
204,2
205,4
206,9
207,9
208,1
209,4
210,2
211,9
212,9
213,9
214,4
215,1
216,9
217,8
218,2
219,4
220,9
221,9
222,1
223,2
224,10
225,4
226,9
227,2
228,9
229,2
230,2
231,1
232,4
233,7
234,2
235,9
236,2
237,9
238,4
239,8
240,2
241,9
242,9
243,9
244,2
245,9
246,4
247,2
248,9
249,1
250,2
251,1
252,2
253,1
254,4
255,1
256,1
257,9
258,8
259,1
260,2
261,6
262,2
263,2
264,2
265,4
266,4
267,2
268,8
269,1
270,8
271,9
272,2
273,8
274,9
275,4
276,1
277,1
278,1
279,9
280,1
281,4
282,2
283,1
284,9
285,1
286,4
287,9
288,5
289,8
290,1
291,2
292,1
293,4
294,9
295,8
296,9
297,3
298,1
299,8
300,1
301,2
302,1
303,9
304,1
305,9
306,1
307,1
308,1
309,2
310,2
311,1
312,9
313,2
314,9
315,9
316,9
317,2
318,6
319,9
320,2
321,1
322,9
323,8
324,2
325,1
326,8
327,9
328,2
329,2
330,1
331,9
332,8
333,8
334,1
335,1
336,1
337,1
338,9
339,5
340,9
341,9
342,4
343,1
344,4
345,1
346,2
347,6
348,2
349,9
350,2
351,1
352,9
353,2
354,2
355,1
356,2
357,8
358,2
359,8
360,2
361,1
362,2
363,1
364,2
365,4
366,9
367,1
368,2
369,4
370,6
371,2
372,1
373,1
374,8
375,2
376,9
377,2
378,1
379,2
380,10
381,1
382,1
383,1
384,2
385,1
386,9
387,3
388,2
389,2
390,2
391,9
392,2
393,9
394,2
395,9
396,9
397,1
398,9
399,9
400,8
401,9
402,2
403,6
404,2
405,2
406,3
407,2
408,4
409,2
410,4
411,1
412,2
413,8
414,7
415,2
416,1
417,9
418,1
419,1
420,9
421,9
422,9
423,1
424,4
425,8
426,4
427,2
428,8
429,4
430,2
431,6
432,1
433,2
434,9
435,1
436,2
437,3
438,9
439,4
440,9
441,4
442,8
443,8
444,1
445,9
446,2
447,2
448,1
449,9
450,1
451,1
452,9
453,2
454,9
455,4
456,4
457,9
458,10
459,9
460,1
461,1
462,1
463,4
464,2
465,1
466,8
467,8
468,9
469,6
470,8
471,1
472,1
473,2
474,9
475,2
476,8
477,9
478,9
479,9
480,6
481,4
482,10
483,9
484,9
485,1
486,2
487,1
488,2
489,9
490,9
491,4
492,1
493,1
494,9
495,2
496,10
497,2
498,4
499,2
500,1
501,4
502,1
503,9
504,9
505,9
506,2
507,1
508,9
509,4
510,9
511,2
512,9
513,2
514,9
515,9
516,4
517,2
518,9
519,2
520,9
521,3
522,9
523,2
524,2
525,2
526,9
527,9
528,9
529,2
530,7
531,3
532,7
533,2
534,7
535,1
536,2
537,1
538,1
539,2
540,7
541,9
542,9
543,9
544,9
545,2
546,2
547,2
548,8
549,9
550,8
551,4
552,9
553,9
554,1
555,9
556,2
557,4
558,9
559,9
560,10
561,1
562,9
563,9
564,9
565,10
566,1
567,9
568,9
569,2
570,4
571,7
572,2
573,1
574,1
575,4
576,3
577,9
578,2
579,4
580,2
581,9
582,9
583,2
584,4
585,4
586,1
587,2
588,1
589,6
590,1
591,9
592,1
593,1
594,10
595,9
596,1
597,9
598,1
599,9
600,9
601,9
602,9
603,2
604,2
605,9
606,1
607,2
608,9
609,2
610,2
611,9
612,1
613,3
614,4
615,1
616,3
617,5
618,1
619,3
620,2
621,1
622,1
623,1
624,1
625,3
